Method,indicator code,Average degree,Network diameter,Average path length,country
HVG,NY.GDP.TOTL.RT.ZS,2.967741935483871,15.0,6.163440860215053,BGD
HVG,SP.RUR.TOTL.ZS,1.935483870967742,30.0,10.666666666666666,BGD
HVG,SL.AGR.EMPL.MA.ZS,2.3870967741935485,24.0,9.129032258064516,BGD
HVG,SP.POP.TOTL,1.935483870967742,30.0,10.666666666666666,BGD
HVG,SP.POP.GROW,2.2580645161290325,25.0,8.763440860215054,BGD
HVG,SP.URB.TOTL.IN.ZS,1.935483870967742,30.0,10.666666666666666,BGD
HVG,EN.URB.MCTY.TL.ZS,1.935483870967742,30.0,10.666666666666666,BGD
HVG,EG.ELC.ACCS.ZS,3.806451612903226,4.0,2.2408602150537633,BGD
HVG,SP.POP.0014.TO.ZS,1.935483870967742,30.0,10.666666666666666,BGD
HVG,SP.POP.1564.TO.ZS,1.935483870967742,30.0,10.666666666666666,BGD
HVG,EN.URB.LCTY.UR.ZS,2.967741935483871,21.0,7.410752688172043,BGD
HVG,EN.POP.DNST,1.935483870967742,30.0,10.666666666666666,BGD
HVG,SP.URB.TOTL,1.935483870967742,30.0,10.666666666666666,BGD
HVG,EN.URB.MCTY.TL.ZS.1,1.935483870967742,30.0,10.666666666666666,BGD
HVG,BN.CAB.XOKA.CD,3.3548387096774195,10.0,3.870967741935484,BGD
HVG,BN.TRF.CURR.CD,2.4516129032258065,22.0,8.490322580645161,BGD
HVG,BN.TRF.KOGT.CD,2.838709677419355,16.0,5.083870967741936,BGD
HVG,NE.EXP.GNFS.ZS.1,2.5806451612903225,20.0,7.393548387096774,BGD
HVG,NY.EXP.CAPM.KN,2.4516129032258065,22.0,7.83010752688172,BGD
HVG,NE.EXP.GNFS.KD.ZG,3.3548387096774195,8.0,3.9806451612903224,BGD
HVG,NE.IMP.GNFS.ZS.1,2.903225806451613,16.0,6.1956989247311824,BGD
HVG,NE.IMP.GNFS.KD.ZG,3.3548387096774195,9.0,4.077419354838709,BGD
HVG,FI.RES.TOTL.CD,2.774193548387097,17.0,6.7182795698924735,BGD
HVG,NV.IND.TOTL.ZS,2.7096774193548385,18.0,6.251612903225807,BGD
HVG,NV.MNF.TECH.ZS.UN,2.967741935483871,14.0,6.051612903225807,BGD
HVG,NV.AGR.TOTL.ZS,2.193548387096774,26.0,9.640860215053763,BGD
HVG,BM.GSR.ROYL.CD,3.096774193548387,12.0,4.397849462365591,BGD
HVG,TX.VAL.FUEL.ZS.UN,3.3548387096774195,14.0,4.941935483870968,BGD
HVG,TX.VAL.MMTL.ZS.UN,3.161290322580645,13.0,4.698924731182796,BGD
HVG,NY.GDP.TOTL.RT.ZS.1,2.967741935483871,15.0,6.163440860215053,BGD
HVG,BX.KLT.DINV.CD.WD.1,2.967741935483871,14.0,5.389247311827957,BGD
HVG,SL.TLF.CACT.MA.ZS,2.064516129032258,28.0,10.227956989247312,BGD
HVG,SP.POP.DPND,1.935483870967742,30.0,10.666666666666666,BGD
HVG,SH.IMM.IDPT,2.903225806451613,12.0,4.552688172043011,BGD
HVG,SH.IMM.MEAS,2.6451612903225805,18.0,6.1956989247311824,BGD
HVG,SP.POP.1564.TO.ZS.1,1.935483870967742,30.0,10.666666666666666,BGD
HVG,SP.POP.1564.TO.ZS.2,1.935483870967742,30.0,10.666666666666666,BGD
HVG,SL.TLF.TOTL.IN,1.935483870967742,30.0,10.666666666666666,BGD
HVG,SP.POP.1564.TO,1.935483870967742,30.0,10.666666666666666,BGD
HVG,NY.GDP.MKTP.KD.ZG,2.967741935483871,15.0,5.683870967741935,BGR
HVG,GC.XPN.INTP.CN,3.032258064516129,13.0,4.7397849462365595,BGR
HVG,GC.XPN.TOTL.GD.ZS,4.258064516129032,7.0,3.1440860215053763,BGR
HVG,NY.GDP.MKTP.CD,3.161290322580645,13.0,5.539784946236559,BGR
HVG,NY.GDP.PCAP.CD,3.096774193548387,14.0,5.752688172043011,BGR
HVG,NY.GDP.PCAP.PP.CD,2.6451612903225805,21.0,7.950537634408602,BGR
HVG,NY.GNS.ICTR.ZS,3.4838709677419355,6.0,3.131182795698925,BGR
HVG,NY.GDP.DEFL.KD.ZG,3.3548387096774195,9.0,4.176344086021506,BGR
HVG,GC.XPN.INTP.ZS,2.7096774193548385,13.0,4.668817204301075,BGR
HVG,SL.UEM.TOTL.ZS,3.032258064516129,13.0,5.387096774193548,BGR
HVG,FP.CPI.TOTL.ZG,3.4193548387096775,9.0,4.1956989247311824,BGR
HVG,BX.KLT.DINV.CD.WD,2.903225806451613,17.0,6.969892473118279,BGR
HVG,FR.INR.LEND,2.903225806451613,18.0,6.7720430107526886,BGR
HVG,FM.LBL.BMNY.GD.ZS,3.806451612903226,5.0,2.763440860215054,BGR
HVG,CM.MKT.LCAP.GD.ZS,3.7241379310344827,7.0,3.226600985221675,BGR
HVG,FS.AST.PRVT.GD.ZS,3.2903225806451615,11.0,4.649462365591398,BGR
HVG,CM.MKT.TRAD.GD.ZS,3.5483870967741935,8.0,3.535483870967742,BGR
HVG,NE.EXP.GNFS.ZS,2.967741935483871,14.0,5.421505376344086,BGR
HVG,NE.IMP.GNFS.ZS,3.225806451612903,11.0,4.651612903225806,BGR
HVG,SL.TLF.ACTI.ZS,3.3548387096774195,11.0,4.264516129032258,BGR
HVG,EN.ATM.CO2E.PC,3.5483870967741935,10.0,3.881720430107527,BGR
